CompanyName,MarketCap,EmployeesTotalAmount
COMPAGNIE FINANCIÈRE RICHEMONT,74.7,NAN
PROGRESSIVE,74.04,NAN
EOG RESOURCES,73.97,NAN
GLAXOSMITHKLINE,73.53,NAN
GAZPROM,73.26,NAN
MERCEDES-BENZ,73.2,NAN
CANADIAN PACIFIC RAILWAY,72.92,NAN
SINOPEC,72.39,NAN
AIR PRODUCTS AND CHEMICALS,72.17,NAN
BECTON DICKINSON,71.98,NAN
ZURICH INSURANCE GROUP,71.88,NAN
SCHLUMBERGER,71.5,NAN
IBERDROLA,71.4,NAN
MITSUBISHI UFJ FINANCIAL,70.74,NAN
ZOETIS,70.74,NAN
TARGET,70.2,NAN
3M,69.69,NAN
BNP PARIBAS,69.54,NAN
HCA HEALTHCARE,69.18,NAN
ILLINOIS TOOL WORKS,68.87,NAN
CSX,68.68,NAN
GENERAL DYNAMICS,68.36,NAN
WASTE MANAGEMENT,68.36,NAN
BOSTON SCIENTIFIC,67.57,NAN
SOFTBANK,67.51,NAN
AXA,67.49,NAN
BANK CENTRAL ASIA,67.1,NAN
STATE BANK OF INDIA,67.01,NAN
CHINA YANGTZE POWER,66.97,NAN
COLGATE-PALMOLIVE,66.26,NAN
U.S. BANCORP,66.24,NAN
HUMANA,66.02,NAN
NATIONAL AUSTRALIA BANK,66.0,NAN
EQUINIX,65.09,NAN
SABIC,64.96,NAN
FISERV,64.71,NAN
DBS GROUP,64.68,NAN
KERING,64.62,NAN
SHERWIN-WILLIAMS,64.44,NAN
KDDI,64.36,NAN
EATON,64.17,NAN
CNOOC,64.09,NAN
LAM RESEARCH,63.85,NAN
FAST RETAILING,63.42,NAN
DAIICHI SANKYŌ,63.38,NAN
AON,63.32,NAN
CHINA TOURISM GROUP DUTY FREE,63.26,NAN
CME GROUP,62.92,NAN
CANADIAN NATURAL RESOURCES,61.97,NAN
VERBUND AG,61.82,NAN
NONGFU SPRING,61.55,NAN
BANK OF MONTREAL,61.44,NAN
WALMEX,61.02,NAN
SIEMENS HEALTHINEERS,60.65,NAN
INVESTOR AB,60.58,NAN
PNC FINANCIAL SERVICES,60.34,NAN
ACTIVISION BLIZZARD,60.29,NAN
NORFOLK SOUTHERN,59.82,NAN
HOUSING DEVELOPMENT FINANCE,59.63,NAN
PETROBRAS,59.61,NAN
BHARTI AIRTEL,59.56,NAN
MICRON TECHNOLOGY,59.55,NAN
ATLAS COPCO,59.54,NAN
CROWN CASTLE,59.53,NAN
AIRBNB,59.47,NAN
ABB,59.45,NAN
POSTAL SAVINGS BANK OF CHINA,59.41,NAN
BMW,58.62,NAN
UBS,58.61,NAN
SCOTIABANK,58.6,NAN
THE SAUDI NATIONAL BANK,58.56,NAN
AMERICA MOVIL,58.19,NAN
BLACKSTONE GROUP,58.19,NAN
INTERCONTINENTAL EXCHANGE,58.05,NAN
OCCIDENTAL PETROLEUM,57.87,NAN
KLA,57.56,NAN
VINCI,57.3,NAN
METLIFE,57.15,NAN
EMERSON,56.9,NAN
ENEL,56.54,NAN
FREEPORT-MCMORAN,56.35,NAN
TRUIST FINANCIAL,56.01,NAN
ADANI ENTERPRISES,55.94,NAN
WESTPAC BANKING,55.86,NAN
THOMSON REUTERS,55.77,NAN
RELX,55.4,NAN
KKR & CO.,55.38,NAN
DOLLAR GENERAL,55.33,NAN
UBER,54.78,NAN
LIFE INSURANCE CORPORATION OF INDIA (LIC),54.77,NAN
HONG KONG EXCHANGES & CLEARING,54.63,NAN
HEINEKEN,54.54,NAN
MOODY'S,54.52,NAN
BAYER,54.5,NAN
GENERAL MOTORS,54.49,NAN
MINDRAY,54.22,NAN
FORD,54.19,NAN
MIDEA,53.84,NAN
UNITED HEAVY MACHINERY,53.58,NAN
PIONEER NATURAL RESOURCES,53.48,NAN
CHINA TELECOM,53.42,NAN
SAFRAN,53.28,NAN
FOSHAN HAITIAN FLAVOURING AND FOOD,53.28,NAN
MONSTER BEVERAGE,53.2,NAN
RECKITT BENCKISER,53.13,NAN
VMWARE,52.98,NAN
ENTERPRISE PRODUCTS,52.95,NAN
KEURIG DR PEPPER,52.88,NAN
PUBLIC STORAGE,52.86,NAN
MCKESSON,52.79,NAN
ANGLO AMERICAN,52.69,NAN
SHIN-ETSU CHEMICAL,52.63,NAN
TOKYO ELECTRON,52.38,NAN
INDUSTRIAL BANK,52.35,NAN
ROSNEFT,52.21,NAN
MARATHON PETROLEUM,51.99,NAN
GENERAL MILLS,51.83,NAN
SEMPRA ENERGY,51.47,NAN
ITC,51.27,NAN
PERNOD RICARD,51.24,NAN
LONDON STOCK EXCHANGE,51.19,NAN
CHARTER COMMUNICATIONS,51.11,NAN
ARCHER DANIELS MIDLAND (ADM),50.97,NAN
O'REILLY AUTOMOTIVE,50.96,NAN
RECRUIT,50.86,NAN
ENI,50.71,NAN
AMERICAN ELECTRIC POWER,50.61,NAN
SYNOPSYS,50.6,NAN
MARRIOTT INTERNATIONAL,50.43,NAN
DASSAULT SYSTÈMES,50.01,NAN
HITACHI,49.68,NAN
EDF (ELECTRICITÉ DE FRANCE),49.64,NAN
DOMINION ENERGY,49.38,NAN
KRAFT HEINZ,49.19,NAN
LONGI GREEN ENERGY TECHNOLOGY,49.16,NAN
NINTENDO,49.02,NAN
SANTANDER,48.87,NAN
BAJAJ FINANCE,48.84,NAN
DEUTSCHE POST,48.8,NAN
SHOPIFY,48.64,NAN
ANZ BANK,48.64,NAN
AMPHENOL,48.63,NAN
SAUDI TELECOM COMPANY,48.54,NAN
PALO ALTO NETWORKS,48.44,NAN
DAIKIN,48.4,NAN
THE HERSHEY COMPANY,48.4,NAN
BROOKFIELD ASSET MANAGEMENT,48.34,NAN
BANK RAKYAT INDONESIA,48.34,NAN
MITSUBISHI,48.29,NAN
SNOWFLAKE,47.98,NAN
NETEASE,47.93,NAN
TAKEDA PHARMACEUTICAL,47.91,NAN
PHILLIPS 66,47.86,NAN
DEXCOM,47.68,NAN
ADANI TOTAL GAS,47.63,NAN
ADYEN,47.51,NAN
SOUTHERN COPPER,47.38,NAN
ORIENTAL LAND,47.27,NAN
STELLANTIS,47.26,NAN
HIKVISION,47.26,NAN
CENTENE,46.99,NAN
SBERBANK,46.99,NAN
KIMBERLY-CLARK,46.94,NAN
EDWARDS LIFESCIENCES,46.87,NAN
SUMITOMO MITSUI FINANCIAL GROUP,46.78,NAN
NOVATEK,46.65,NAN
CINTAS,46.63,NAN
ITŌCHŪ SHŌJI,46.59,NAN
AMERICAN INTERNATIONAL GROUP,46.55,NAN
ROPER TECHNOLOGIES,46.53,NAN
AMBEV,46.38,NAN
MITSUI BUSSAN,46.37,NAN
FEDEX,46.33,NAN
ALIMENTATION COUCHE-TARD,46.32,NAN
NATIONAL GRID,46.22,NAN
BANK OF COMMUNICATIONS,46.2,NAN
VALERO ENERGY,46.15,NAN
WORKDAY,46.07,NAN
WOODSIDE ENERGY,45.96,NAN
FOXCONN (HON HAI PRECISION INDUSTRY),45.8,NAN
JOHNSON CONTROLS,45.7,NAN
AGILENT TECHNOLOGIES,45.66,NAN
MUNICH RE (MÜNCHENER RÜCK),45.64,NAN
BASF,45.62,NAN
CADENCE DESIGN SYSTEMS,45.39,NAN
ENPHASE ENERGY,45.23,NAN
BIONTECH,45.15,NAN
MACQUARIE,45.12,NAN
KOTAK MAHINDRA BANK,44.96,NAN
SIMON PROPERTY GROUP,44.8,NAN
SAMSUNG BIOLOGICS,44.75,NAN
UNIVERSAL MUSIC GROUP,44.66,NAN
NXP SEMICONDUCTORS,44.45,NAN
MOTOROLA SOLUTIONS,44.44,NAN
AUTOZONE,44.36,NAN
PAYCHEX,44.21,NAN
CONSTELLATION BRANDS,44.19,NAN
ING,44.09,NAN
CORTEVA,44.08,NAN
AFLAC,43.76,NAN
THE TRAVELERS COMPANIES,43.73,NAN
MERCADOLIBRE,43.62,NAN
INFINEON,43.53,NAN
AUTODESK,43.16,NAN
CHUGAI PHARMACEUTICAL,43.13,NAN
FIDELITY NATIONAL INFORMATION SERVICES,42.96,NAN
REPUBLIC SERVICES,42.95,NAN
MAADEN,42.95,NAN
ECOLAB,42.84,NAN
FORTESCUE,42.72,NAN
CHIPOTLE MEXICAN GRILL,42.64,NAN
BLOCK,42.61,NAN
EXELON,42.55,NAN
LULULEMON ATHLETICA,42.5,NAN
FORTINET,42.39,NAN
TC ENERGY,42.33,NAN
ITAÚ UNIBANCO,42.22,NAN
MAYBANK,42.18,NAN
SK HYNIX,42.14,NAN
