CompanyName,MarketCap,EmployeesTotalAmount
Booking Holdings Inc.,China Tourism Group Duty Free Corp Ltd,"20,097"
Canadian National Railway Company,Union Pacific,"22,604"
Enbridge Inc.,Enterprise Products Partners L.P.,"10,900"
Schneider Electric SE,Honeywell,"166,025"
Deutsche Telekom AG,Verizon,"216,528"
MERCK Kommanditgesellschaft auf Aktien,Zoetis Inc.,"60,334"
"Mondelez International, Inc.",The Hershey Company,"79,000"
JD.com,Amazon,"310,000"
Vulcan International Corp,Saudi Basic Industries Corp,68
Zoetis Inc.,MERCK Kommanditgesellschaft auf Aktien,"12,100"
CSL Limited,Novo Nordisk,"25,000"
3M Company,Honeywell,"95,000"
Duke Energy Corporation,NextEra Energy,"27,605"
Bank of Nova Scotia,JPMorgan,"89,782"
The Blackstone Group Inc.,BlackRock,"3,795"
Brookfield Asset Management Inc.,BlackRock,"150,000"
Glencore plc,BHP,"81,284"
CME Group Inc.,S&P Global Inc.,"3,480"
"Marsh & McLennan Companies, Inc.",Aon Plc,"83,000"
"Micron Technology, Inc.",Nvidia,"43,000"
"Mitsubishi UFJ Financial Group, Inc.",JPMorgan,"132,700"
Cigna Corporation,UnitedHealth Group,"72,226"
Shopify,Salesforce,"10,000"
Air Liquide SA,Saudi Basic Industries Corp,"66,400"
"HCA Healthcare, Inc.",Aier Eye Hospital Group Co. Ltd,"204,000"
National Australia Bank Limited,JPMorgan,"32,741"
Crown Castle International Corp. (REIT),American Tower,"5,000"
EssilorLuxottica SA,"Becton, Dickinson and Company","144,888"
U.S. Bancorp,JPMorgan,"68,796"
Tokyo Electron Ltd,ASML,"14,479"
Bank of Montreal,JPMorgan,"43,863"
Kering SA,LVMH,"42,811"
China Yangtze Power Co. Ltd,China National Nuclear Power Co. Ltd,"3,985"
China Petroleum & Chemical Corporation,Aramco,"384,065"
The Southern Company,NextEra Energy,"27,027"
Lam Research Corporation,ASML,"16,300"
"The PNC Financial Services Group, Inc.",JPMorgan,"57,668"
"Becton, Dickinson and Company",EssilorLuxottica SA,"75,000"
"Gilead Sciences, Inc.",Johnson & Johnson,"14,400"
"Regeneron Pharmaceuticals, Inc.",Novo Nordisk,"10,368"
Truist Financial Corporation,JPMorgan,"50,283"
Canadian Natural Resources Limited,ConocoPhillips,"9,735"
"Intercontinental Exchange, Inc.",S&P Global Inc.,"8,858"
"The TJX Companies, Inc.","Industria de Diseño Textil, SA","270,000"
Atlassian Corporation Plc,Salesforce,"7,388"
Zurich Insurance Group AG,Allianz SE,"55,000"
Edwards Lifesciences Corporation,Abbott,"15,700"
Aon Plc,"Marsh & McLennan Companies, Inc.","50,000"
Northrop Grumman Corporation,Raytheon Technologies,"88,000"
KDDI Corp,Verizon,"47,320"
Norfolk Southern Corporation,Union Pacific,"18,100"
Freeport-McMoRan Inc.,Southern Copper Corporation,"24,700"
Wal-Mart de Mexico SAB de CV,Walmart,"231,259"
PT Bank Central Asia Tbk,JPMorgan,"25,370"
"EOG Resources, Inc.",ConocoPhillips,"2,800"
Siemens Healthineers AG,Thermo Fisher Scientific,"66,800"
Anglo American plc,BHP,"106,000"
"Moderna, Inc.",Novo Nordisk,"2,700"
General Dynamics Corporation,Raytheon Technologies,"103,100"
AXA SA,Allianz SE,"106,128"
"Dominion Energy, Inc.",Enel SpA,"17,100"
Enel SpA,"Dominion Energy, Inc.","66,279"
BNP Paribas SA,JPMorgan,"190,000"
"América Móvil, S.A.B. de C.V.",Verizon,"181,205"
Public Storage,Prologis,"5,800"
UBS Group AG,JPMorgan,"71,385"
Sberbank,JPMorgan,"287,866"
"Fiserv, Inc.",Accenture,"44,000"
"Iberdrola, SA","Dominion Energy, Inc.","38,702"
Recruit Holdings Co Ltd,"Automatic Data Processing, Inc.","46,800"
Bayer AG,Johnson & Johnson,"95,950"
The Sherwin-Williams Company,Linde,"61,000"
Vertex Pharmaceuticals Incorporated,Novo Nordisk,"3,900"
Illinois Tool Works Inc.,Honeywell,"45,000"
The Progressive Corporation,Chubb Limited,"49,077"
Westpac Banking Corporation,JPMorgan,"40,143"
ABB Ltd,CATL,"104,400"
"Waste Management, Inc.","Republic Services, Inc.","48,500"
Industrial Bank Co. Ltd,JPMorgan,"59,630"
DBS Group Holdings Ltd,JPMorgan,"33,000"
ICICI Bank Limited,JPMorgan,"98,750"
"Equinix, Inc. (REIT)",American Tower,"10,944"
Newmont Corporation,Zijin Mining Group Co Ltd,"14,400"
Ford Motor Company,Tesla,"183,000"
Colgate-Palmolive Company,Procter & Gamble,"33,800"
Exelon Corporation,"Dominion Energy, Inc.","31,518"
Snowflake Inc.,Salesforce,"2,495"
