CompanyName,MarketCap,EmployeesTotalAmount
Colgate-Palmolive,66.26,NAN
U.S. Bancorp,66.24,NAN
Humana,66.02,NAN
National Australia Bank,66.00,NAN
Equinix,65.09,NAN
SABIC,64.96,NAN
Fiserv,64.71,NAN
DBS Group,64.68,NAN
Kering,64.62,NAN
Sherwin-Williams,64.44,NAN
KDDI,64.36,NAN
Eaton,64.17,NAN
CNOOC,64.09,NAN
Lam Research,63.85,NAN
Fast Retailing,63.42,NAN
Daiichi Sankyō,63.38,NAN
Aon,63.32,NAN
China Tourism Group Duty Free,63.26,NAN
CME Group,62.92,NAN
Canadian Natural Resources,61.97,NAN
Verbund AG,61.82,NAN
Nongfu Spring,61.55,NAN
Bank of Montreal,61.44,NAN
Walmex,61.02,NAN
Siemens Healthineers,60.65,NAN
Investor AB,60.58,NAN
PNC Financial Services,60.34,NAN
Activision Blizzard,60.29,NAN
Norfolk Southern,59.82,NAN
Housing Development Finance Corporation,59.63,NAN
Petrobras,59.61,NAN
Bharti Airtel,59.56,NAN
Micron Technology,59.55,NAN
Atlas Copco,59.54,NAN
Crown Castle,59.53,NAN
Airbnb,59.47,NAN
ABB,59.45,NAN
Postal Savings Bank of China,59.41,NAN
BMW,58.62,NAN
UBS,58.61,NAN
Scotiabank,58.60,NAN
The Saudi National Bank,58.56,NAN
America Movil,58.19,NAN
Blackstone Group,58.19,NAN
Intercontinental Exchange,58.05,NAN
Occidental Petroleum,57.87,NAN
KLA,57.56,NAN
Vinci,57.30,NAN
MetLife,57.15,NAN
Emerson,56.90,NAN
Enel,56.54,NAN
Freeport-McMoRan,56.35,NAN
Truist Financial,56.01,NAN
Adani Enterprises,55.94,NAN
Westpac Banking,55.86,NAN
Thomson Reuters,55.77,NAN
RELX,55.40,NAN
KKR & Co.,55.38,NAN
Dollar General,55.33,NAN
Uber,54.78,NAN
Life Insurance Corporation of India (LIC),54.77,NAN
Hong Kong Exchanges & Clearing,54.63,NAN
Heineken,54.54,NAN
Moody's,54.52,NAN
Bayer,54.50,NAN
General Motors,54.49,NAN
Mindray,54.22,NAN
Ford,54.19,NAN
Midea,53.84,NAN
United Heavy Machinery,53.58,NAN
Pioneer Natural Resources,53.48,NAN
China Telecom,53.42,NAN
Safran,53.28,NAN
Foshan Haitian Flavouring and Food,53.28,NAN
Monster Beverage,53.20,NAN
Reckitt Benckiser,53.13,NAN
Vmware,52.98,NAN
Enterprise Products,52.95,NAN
Keurig Dr Pepper,52.88,NAN
Public Storage,52.86,NAN
McKesson,52.79,NAN
Anglo American,52.69,NAN
Shin-Etsu Chemical,52.63,NAN
Tokyo Electron,52.38,NAN
Industrial Bank,52.35,NAN
Rosneft,52.21,NAN
Marathon Petroleum,51.99,NAN
General Mills,51.83,NAN
Sempra Energy,51.47,NAN
ITC,51.27,NAN
Pernod Ricard,51.24,NAN
London Stock Exchange,51.19,NAN
Charter Communications,51.11,NAN
Archer Daniels Midland (ADM),50.97,NAN
O'Reilly Automotive,50.96,NAN
Recruit,50.86,NAN
ENI,50.71,NAN
American Electric Power,50.61,NAN
Synopsys,50.60,NAN
Marriott International,50.43,NAN
Dassault Systèmes,50.01,NAN
Hitachi,49.68,NAN
EDF (Electricité de France),49.64,NAN
Dominion Energy,49.38,NAN
Kraft Heinz,49.19,NAN
LONGi Green Energy Technology,49.16,NAN
Nintendo,49.02,NAN
Santander,48.87,NAN
Bajaj Finance,48.84,NAN
Deutsche Post,48.80,NAN
Shopify,48.64,NAN
ANZ Bank,48.64,NAN
Amphenol,48.63,NAN
Saudi Telecom Company,48.54,NAN
Palo Alto Networks,48.44,NAN
Daikin,48.40,NAN
The Hershey Company,48.40,NAN
Brookfield Asset Management,48.34,NAN
Bank Rakyat Indonesia,48.34,NAN
Mitsubishi Corporation,48.29,NAN
Snowflake,47.98,NAN
NetEase,47.93,NAN
Takeda Pharmaceutical,47.91,NAN
Phillips 66,47.86,NAN
DexCom,47.68,NAN
Adani Total Gas,47.63,NAN
Adyen,47.51,NAN
Southern Copper,47.38,NAN
Oriental Land,47.27,NAN
Stellantis,47.26,NAN
Hikvision,47.26,NAN
Centene,46.99,NAN
Sberbank,46.99,NAN
Kimberly-Clark,46.94,NAN
Edwards Lifesciences,46.87,NAN
Sumitomo Mitsui Financial Group,46.78,NAN
Novatek,46.65,NAN
Cintas,46.63,NAN
Itōchū Shōji,46.59,NAN
American International Group,46.55,NAN
Roper Technologies,46.53,NAN
Ambev,46.38,NAN
Mitsui Bussan,46.37,NAN
FedEx,46.33,NAN
Alimentation Couche-Tard,46.32,NAN
National Grid,46.22,NAN
Bank of Communications,46.20,NAN
Valero Energy,46.15,NAN
Workday,46.07,NAN
Woodside Energy,45.96,NAN
Foxconn (Hon Hai Precision Industry),45.80,NAN
Johnson Controls,45.70,NAN
Agilent Technologies,45.66,NAN
Munich RE (Münchener Rück),45.64,NAN
BASF,45.62,NAN
Cadence Design Systems,45.39,NAN
Enphase Energy,45.23,NAN
BioNTech,45.15,NAN
Macquarie,45.12,NAN
Kotak Mahindra Bank,44.96,NAN
Simon Property Group,44.80,NAN
Samsung Biologics,44.75,NAN
Universal Music Group,44.66,NAN
NXP Semiconductors,44.45,NAN
Motorola Solutions,44.44,NAN
AutoZone,44.36,NAN
Paychex,44.21,NAN
Constellation Brands,44.19,NAN
ING,44.09,NAN
Corteva,44.08,NAN
Aflac,43.76,NAN
The Travelers Companies,43.73,NAN
MercadoLibre,43.62,NAN
Infineon,43.53,NAN
Autodesk,43.16,NAN
Chugai Pharmaceutical,43.13,NAN
Fidelity National Information Services,42.96,NAN
Republic Services,42.95,NAN
Maaden,42.95,NAN
Ecolab,42.84,NAN
Fortescue,42.72,NAN
Chipotle Mexican Grill,42.64,NAN
Block,42.61,NAN
Exelon Corporation,42.55,NAN
lululemon athletica,42.50,NAN
Fortinet,42.39,NAN
TC Energy,42.33,NAN
Itaú Unibanco,42.22,NAN
Maybank,42.18,NAN
SK Hynix,42.14,NAN
Hess,41.97,NAN
Intesa Sanpaolo,41.97,NAN
Suncor Energy,41.96,NAN
Microchip Technology,41.86,NAN
Tokio Marine,41.78,NAN
Compass Group,41.72,NAN
Sysco,41.62,NAN
Biogen,41.62,NAN
BCE,41.53,NAN
L3Harris Technologies,41.51,NAN
Baidu,41.19,NAN
S.F. Express,41.12,NAN
Wanhua Chemical,41.12,NAN
Williams Companies,41.08,NAN
OCBC Bank,41.08,NAN
Ferrari,41.07,NAN
Budweiser APAC,40.97,NAN
Honda,40.83,NAN
CITIC Securities,40.78,NAN
Arthur J. Gallagher & Co.,40.71,NAN
Kinder Morgan,40.70,NAN
Trane Technologies,40.65,NAN
Cheniere Energy,40.58,NAN
Realty Income,40.55,NAN
Devon Energy,40.47,NAN
Ross Stores,40.43,NAN
Denso,40.26,NAN
Arista Networks,40.25,NAN
Nornickel,40.20,NAN
Lukoil,39.92,NAN
MSCI,39.85,NAN
IQVIA,39.78,NAN
Apollo Global Management,39.64,NAN
Nutrien,39.56,NAN
Ørsted,39.48,NAN
TE Connectivity,39.41,NAN
Sika,39.32,NAN
Xcel Energy,38.99,NAN
Adani Green Energy,38.88,NAN
Sun Hung Kai Properties,38.84,NAN
Nordea Bank,38.54,NAN
Atlassian,38.28,NAN
UOB,38.20,NAN
Zijin Mining,38.14,NAN
Parker-Hannifin,38.13,NAN
Lloyds Banking Group,38.01,NAN
Nucor,37.95,NAN
Volvo Group,37.93,NAN
Kuaishou Technology,37.93,NAN
Neste,37.56,NAN
Prudential Financial,37.56,NAN
CIBC,37.50,NAN
Newmont,37.39,NAN
East Money Information,37.34,NAN
Larsen & Toubro,37.27,NAN
Las Vegas Sands,37.25,NAN
Muyuan Foods,37.06,NAN
Jardine Matheson,37.02,NAN
Japan Tobacco,36.99,NAN
Yum! Brands,36.96,NAN
Prudential,36.95,NAN
Maersk,36.90,NAN
Capital One,36.87,NAN
Hoya,36.86,NAN
7-Eleven,36.86,NAN
Lonza,36.83,NAN
Hilton Worldwide,36.79,NAN
Wesfarmers,36.76,NAN
Carrier,36.62,NAN
Banco Santander Brasil,36.52,NAN
Sea (Garena),36.50,NAN
Ping An Bank,36.48,NAN
Energy Transfer Partners,36.41,NAN
Asian Paints,36.39,NAN
Marvell Technology Group,36.38,NAN
ENGIE,36.33,NAN
Bank of New York Mellon,36.32,NAN
LG Chem,36.28,NAN
Haleon,36.24,NAN
YANGHE,36.22,NAN
Dow,36.14,NAN
Waste Connections,36.13,NAN
Xiaomi,36.08,NAN
Adani Transmission,36.08,NAN
Paccar,35.73,NAN
GlobalFoundries,35.70,NAN
IDEXX Laboratories,35.61,NAN
Cenovus Energy,35.46,NAN
Banco Bilbao Vizcaya Argentaria,35.39,NAN
MediaTek,35.28,NAN
STMicroelectronics,35.25,NAN
Bank of China (Hong Kong),35.22,NAN
Walgreens Boots Alliance,35.03,NAN
Consolidated Edison,34.93,NAN
