CompanyName,MarketCap,EmployeesTotalAmount
"JD.com, Inc.",90.46,NAN
Vulcan International Corp,90.34,NAN
Zoetis Inc.,89.82,NAN
CSL Limited,89.69,NAN
3M Company,88.77,NAN
Duke Energy Corporation,88.76,NAN
Bank of Nova Scotia,87.76,NAN
The Blackstone Group Inc.,87.64,NAN
Brookfield Asset Management Inc.,87.46,NAN
Glencore plc,87.31,NAN
CME Group Inc.,87.17,NAN
"Marsh & McLennan Companies, Inc.",87.16,NAN
"Micron Technology, Inc.",86.49,NAN
"Mitsubishi UFJ Financial Group, Inc.",85.03,NAN
Cigna Corporation,84.67,NAN
Shopify Inc.,83.80,NAN
Air Liquide SA,83.24,NAN
"HCA Healthcare, Inc.",82.60,NAN
National Australia Bank Limited,81.03,NAN
Crown Castle International Corp. (REIT),80.92,NAN
EssilorLuxottica SA,80.49,NAN
U.S. Bancorp,80.16,NAN
Tokyo Electron Ltd,79.62,NAN
Bank of Montreal,79.22,NAN
Kering SA,78.66,NAN
China Yangtze Power Co. Ltd,78.42,NAN
China Petroleum & Chemical Corporation,78.39,NAN
The Southern Company,78.38,NAN
Lam Research Corporation,77.60,NAN
"The PNC Financial Services Group, Inc.",77.10,NAN
"Becton, Dickinson and Company",76.98,NAN
"Gilead Sciences, Inc.",76.15,NAN
"Regeneron Pharmaceuticals, Inc.",74.91,NAN
Truist Financial Corporation,74.79,NAN
Canadian Natural Resources Limited,74.78,NAN
"Intercontinental Exchange, Inc.",74.17,NAN
"The TJX Companies, Inc.",73.99,NAN
Atlassian Corporation Plc,73.72,NAN
Zurich Insurance Group AG,73.58,NAN
Edwards Lifesciences Corporation,73.38,NAN
Hitachi Ltd,48.92,NAN
Scentre Group,48.83,NAN
"MediaTek, Inc.",48.74,NAN
Lululemon Athletica Inc.,48.52,NAN
Dow Inc.,48.50,NAN
Rosneft Oil Co PJSC,48.50,NAN
McKesson Corporation,48.46,NAN
Suncor Energy Inc.,48.27,NAN
"VMware, Inc.",48.17,NAN
Johnson Controls International plc,48.15,NAN
"O'Reilly Automotive, Inc.",48.14,NAN
Grupo Mexico SAB de CV,48.00,NAN
"CrowdStrike Holdings, Inc.",47.89,NAN
Naspers Ltd,47.73,NAN
"Autodesk, Inc.",47.69,NAN
"Prudential Financial, Inc.",47.17,NAN
Open Joint Stock Company OMZ,47.15,NAN
Cognizant Technology Solutions Corporation,47.07,NAN
Nucor Corporation,46.86,NAN
"DexCom, Inc.",46.86,NAN
Banco Bradesco SA,46.71,NAN
Nidec Corp,46.33,NAN
adidas AG,46.13,NAN
Sika AG,46.01,NAN
"Baidu, Inc.",45.98,NAN
Takeda Pharmaceutical Company Limited,45.89,NAN
The Hershey Company,45.83,NAN
Amphenol Corporation,45.77,NAN
Vanjia Corp,,NAN
Vodafone Group plc,45.74,NAN
"IDEXX Laboratories, Inc.",45.64,NAN
"The Travelers Companies, Inc.",45.56,NAN
Infineon Technologies AG,45.35,NAN
"Constellation Brands, Inc.",45.21,NAN
"Datadog, Inc.",45.13,NAN
Mitsui & Co. Ltd,45.09,NAN
Saudi Arabian Mining Company ,45.00,NAN
PJSC Lukoil,44.96,NAN
Intesa Sanpaolo S.p.A.,44.95,NAN
TE Connectivity Ltd.,44.78,NAN
"AutoZone, Inc.",44.39,NAN
IQVIA Holdings Inc.,44.32,NAN
Cintas Corporation,44.32,NAN
"Cadence Design Systems, Inc.",44.23,NAN
"Chipotle Mexican Grill, Inc.",44.11,NAN
"Sumitomo Mitsui Financial Group, Inc.",44.06,NAN
"Samsung Biologics Co.,Ltd.",44.01,NAN
Wipro Limited,43.98,NAN
Zijin Mining Group Co Ltd,43.93,NAN
HP Inc.,43.90,NAN
Shell plc,207.68,NAN
Novartis AG,204.13,NAN
AstraZeneca plc,201.75,NAN
Intel Corporation,201.72,NAN
Wells Fargo & Company,200.01,NAN
Adobe Inc.,199.57,NAN
"salesforce.com, inc.",193.80,NAN
"United Parcel Service, Inc.",190.50,NAN
China Construction Bank Corp,189.37,NAN
McDonald's Corporation,186.57,NAN
China Merchants Bank Co Ltd,185.98,NAN
Contemporary Amperex Technology Co. Ltd,185.67,NAN
Union Pacific Corporation,184.19,NAN
AT&T Inc.,175.88,NAN
Qualcomm Incorporated,172.25,NAN
Texas Instruments Incorporated,171.28,NAN
Bristol-Myers Squibb Company,170.56,NAN
Prosus N.V.,170.00,NAN
Linde plc,166.07,NAN
"NextEra Energy, Inc.",165.53,NAN
Agricultural Bank of China Ltd,165.00,NAN
"T-Mobile US, Inc.",164.31,NAN
Morgan Stanley,164.05,NAN
"Netflix, Inc.",163.19,NAN
Royal Bank of Canada,159.74,NAN
The Charles Schwab Corporation,158.06,NAN
Philip Morris International Inc.,154.71,NAN
Medtronic plc,151.06,NAN
Raytheon Technologies Corporation,150.96,NAN
American Express Company,150.76,NAN
Hermès International SCA,148.98,NAN
Toronto-Dominion Bank,145.41,NAN
PetroChina Company Limited,144.50,NAN
Commonwealth Bank of Australia,144.32,NAN
"Lowe's Companies, Inc.",143.77,NAN
Amgen Inc.,141.72,NAN
Bank of China Ltd,141.22,NAN
HSBC Holdings plc,140.15,NAN
China Mobile Ltd,139.30,NAN
TotalEnergies SE,137.50,NAN
Honeywell International Inc.,136.48,NAN
ConocoPhillips,136.32,NAN
CVS Health Corporation,135.27,NAN
Ping An Insurance (Group) Company of China Ltd,134.25,NAN
SAP SE,134.19,NAN
"PayPal Holdings, Inc.",133.92,NAN
Sanofi,132.29,NAN
Deere & Company,130.31,NAN
"Advanced Micro Devices, Inc.",128.29,NAN
Intuit Inc.,126.77,NAN
Aon Plc,73.33,NAN
Northrop Grumman Corporation,73.25,NAN
KDDI Corp,73.12,NAN
Norfolk Southern Corporation,72.31,NAN
Freeport-McMoRan Inc.,72.16,NAN
Wal-Mart de Mexico SAB de CV,71.96,NAN
PT Bank Central Asia Tbk,71.91,NAN
"EOG Resources, Inc.",71.90,NAN
Siemens Healthineers AG,71.50,NAN
Anglo American plc,71.48,NAN
"Moderna, Inc.",70.81,NAN
General Dynamics Corporation,70.55,NAN
AXA SA,70.20,NAN
"Dominion Energy, Inc.",70.20,NAN
Enel SpA,70.15,NAN
BNP Paribas SA,69.90,NAN
"América Móvil, S.A.B. de C.V.",,NAN
Public Storage,69.31,NAN
UBS Group AG,68.93,NAN
Sberbank of Russia PJSC,68.69,NAN
"Fiserv, Inc.",68.68,NAN
"Iberdrola, SA",68.23,NAN
Recruit Holdings Co Ltd,68.11,NAN
Bayer AG,68.09,NAN
The Sherwin-Williams Company,67.54,NAN
Vertex Pharmaceuticals Incorporated,67.49,NAN
Illinois Tool Works Inc.,67.49,NAN
The Progressive Corporation,67.31,NAN
Westpac Banking Corporation,67.20,NAN
ABB Ltd,67.19,NAN
"Waste Management, Inc.",66.95,NAN
Industrial Bank Co. Ltd,66.87,NAN
DBS Group Holdings Ltd,66.74,NAN
ICICI Bank Limited,66.62,NAN
"Equinix, Inc. (REIT)",66.35,NAN
Newmont Corporation,65.89,NAN
Ford Motor Company,65.74,NAN
Colgate-Palmolive Company,65.64,NAN
Exelon Corporation,65.53,NAN
Snowflake Inc.,65.04,NAN
Oriental Land Co. Ltd,64.66,NAN
"SK hynix, Inc.",,NAN
AP Moller - Maersk A-S,64.40,NAN
Shin-Etsu Chemical Co Ltd,63.43,NAN
FedEx Corporation,63.25,NAN
Boston Scientific Corporation,63.08,NAN
PacifiCorp,62.87,NAN
Dassault Systèmes SE,62.75,NAN
"MetLife, Inc.",62.69,NAN
General Motors Company,62.69,NAN
National Grid plc,55.88,NAN
"Daikin Industries,Ltd.",55.58,NAN
Chugai Pharmaceutical Co. Ltd,55.31,NAN
Keurig Dr Pepper Inc.,55.28,NAN
Ergo Science Corp,,NAN
SoftBank Group Corp.,54.93,NAN
Heineken N.V.,54.87,NAN
Ambev SA,54.69,NAN
Canadian Pacific Railway Limited,54.59,NAN
Marathon Petroleum Corporation,54.54,NAN
"American International Group, Inc.",54.31,NAN
Dollar General Corporation,54.30,NAN
"Fortinet, Inc.",53.86,NAN
Snap Inc.,53.86,NAN
Ferrari N.V.,53.78,NAN
Lonza Group Ltd,53.76,NAN
London Stock Exchange Group plc,53.33,NAN
Thomson Reuters Corporation,53.30,NAN
BASF SE,52.76,NAN
Sempra Energy,52.47,NAN
Occidental Petroleum Corporation,52.30,NAN
"Liberty Bancshares, Inc. (OH)",,NAN
Fast Retailing Co. Ltd,52.29,NAN
NXP Semiconductors N.V.,52.28,NAN
"Xilinx, Inc.",,NAN
ITOCHU Corp,52.19,NAN
Eni S.p.A.,52.00,NAN
Stellantis N.V.,51.80,NAN
BCE Inc.,51.71,NAN
DENSO Corp,51.58,NAN
Toyota Motor Corporation,51.55,NAN
"L3Harris Technologies, Inc.",51.51,NAN
"AgriBank, FCB",,NAN
General Accident plc,51.43,NAN
Archer-Daniels-Midland Company,51.03,NAN
"American Electric Power Company, Inc.",50.95,NAN
Fortescue Metals Group Limited,50.76,NAN
Hon Hai Precision Industry Co. Ltd,50.75,NAN
China Tourism Group Duty Free Corp Ltd,50.46,NAN
Ecolab Inc.,50.29,NAN
Novatek PJSC,50.19,NAN
"Synopsys, Inc.",50.18,NAN
Safran SA,50.02,NAN
"Illumina, Inc.",49.91,NAN
"MercadoLibre, Inc.",49.83,NAN
"Roper Technologies, Inc.",49.66,NAN
The Kraft Heinz Company,49.42,NAN
Centene Corporation,49.32,NAN
"Paychex, Inc.",49.23,NAN
"Honda Motor Co., Ltd.",49.11,NAN
Lloyds Banking Group plc,43.70,NAN
"Simon Property Group, Inc.",43.69,NAN
Aflac Incorporated,43.59,NAN
Barrick Gold Corporation,43.50,NAN
Murata Manufacturing Co. Ltd,43.41,NAN
"Kinder Morgan, Inc.",43.38,NAN
Kimberly-Clark Corporation,43.21,NAN
Xiaomi Corp,43.10,NAN
Wesfarmers Limited,43.09,NAN
"Republic Services, Inc.",42.91,NAN
HOYA Corp,42.88,NAN
Yihai Kerry Arawana Holdings Co. Ltd,42.84,NAN
Monster Beverage Corporation,42.81,NAN
LONGi Green Energy Technology Co. Ltd,42.68,NAN
"Corteva, Inc.",42.66,NAN
"General Mills, Inc.",42.65,NAN
Seven & i Holdings Co. Ltd,42.53,NAN
DSV PANALPINA A-S,42.49,NAN
Hilton Worldwide Holdings Inc.,42.39,NAN
WuXi AppTec Co. Ltd,42.25,NAN
Sysco Corporation,42.22,NAN
The Kroger Co.,42.03,NAN
Manulife Financial Corporation,41.98,NAN
BioNTech SE,41.93,NAN
STMicroelectronics N.V.,41.91,NAN
Devon Energy Corporation,41.82,NAN
"The Williams Companies, Inc.",41.60,NAN
The Allstate Corporation,41.54,NAN
Hang Seng Bank Limited,41.47,NAN
Valero Energy Corporation,41.27,NAN
ING Groep N.V.,41.25,NAN
MMC Norilsk Nickel PJSC,41.16,NAN
"Motorola Solutions, Inc.",40.87,NAN
"East Money Information Co.,Ltd.",40.83,NAN
The Bank of New York Mellon Corporation,40.83,NAN
Carrier Global Corporation,40.79,NAN
Oversea-Chinese Banking Corp Ltd,40.77,NAN
"Digital Realty Trust, Inc.",40.64,NAN
"Walgreens Boots Alliance, Inc.",40.55,NAN
"Agilent Technologies, Inc.",40.49,NAN
Global Payments Inc.,40.35,NAN
CITIC Securities Company Ltd,40.17,NAN
Baxter International Inc.,40.13,NAN
BOC Hong Kong Holdings Ltd,39.99,NAN
MSCI Inc.,39.97,NAN
Welltower Inc.,39.96,NAN
Xcel Energy Inc.,39.76,NAN
United Overseas Bank Ltd,39.73,NAN
Wanhua Chemical Group Co. Ltd,39.73,NAN
"DuPont de Nemours, Inc.",39.72,NAN
EQT AB,39.71,NAN
Alimentation Couche-Tard Inc.,,NAN
eBay Inc.,39.34,NAN
Givaudan SA,39.29,NAN
Novozymes A-S,39.03,NAN
Prudential plc,39.00,NAN
Alcon Inc.,38.90,NAN
Ecopetrol SA,38.69,NAN
Baker Hughes Company,38.39,NAN
"Banco Bilbao Vizcaya Argentaria, SA",38.25,NAN
Dell Technologies Inc.,38.16,NAN
Kuaishou Technology,38.15,NAN
AB Volvo,38.13,NAN
Crédit Agricole SA,38.01,NAN
"Dollar Tree, Inc.",38.00,NAN
SBA Communications Corporation,37.93,NAN
Capgemini SE,37.82,NAN
Daiichi Sankyo Company Ltd,37.79,NAN
Compass Group plc,37.73,NAN
Sartorius Stedim Biotech SA,37.55,NAN
PT Bank Rakyat Indonesia (Persero) Tbk,,NAN
Phillips 66,37.51,NAN
