CompanyName,MarketCap,EmployeesTotalAmount
imperial brands,21.145,30300
upm-kymmene oyj,20.972,17512
nexi,20.896,1996
akzo nobel,20.741,32200
ucb sa,20.612,8006
tcs group holding,20.605,528748
edp - energias de portugal,20.438,12236
standard chartered,20.378,84740
exor,20.374,268979
omv group,20.210,25391
cez a. s,20.163,27200
erste group bank ag,19.926,44596
swiss life holding ag,19.922,9823
symrise ag,19.804,10531
asm international nv,19.787,2583
yandex,19.592,11864
snam,19.225,3388
zalando se,19.103,14194
fresenius medical care ag & co. kgaa,18.809,125364
moncler,18.758,4561
thales,18.756,80702
jde peet's n.v.,18.578,19000
croda international,18.577,4000
siemens energy,18.494,91000
surgutneftegas,18.439,116000
wpp plc,18.269,100000
vantage towers ag,18.162,327
repsol,18.162,23739
antofagasta,18.128,23248
pao severstal,17.528,52200
puma se,17.486,14374
carl zeiss meditec ag,17.301,3000
publicis groupe,17.224,79051
nn group,17.104,15417
poste italiane spa,17.079,118523
cnp assurances sa,17.021,5353
novolipetsk steel,16.921,52800
uniper se,16.886,11644
adevinta asa,16.683,4700
groupe bruxelles lambert sa,16.677,59000
aercap holdings,16.583,376
amundi,16.574,4700
james hardie industries,16.505,4861
alfa laval ab (publ),16.501,17883
norsk hydro asa,16.447,34240
tryg a/s,16.442,4000
worldline,16.384,20000
argenx se,16.128,336
knorr-bremse,16.125,29000
carrefour sa,16.110,322164
bollore,16.011,79207
sofina societe anonyme,16.000,NAN
ocado group,15.933,17121
telia company ab (publ),15.857,20700
smith & nephew,15.688,17500
clarivate plc,15.685,8300
terna s.p.a. ,15.647,4735
atlantia,15.611,30745
halma,15.584,7120
siemens gamesa renewable energy,15.524,24500
davide campari-milano,15.491,4000
evonik industries ag,15.424,33004
danske bank a/s,15.411,21754
transneft,15.311,115900
biomerieux,15.281,12000
deutsche wohnen se,15.251,1339
spirax-sarco engineering,15.248,85
prada,15.139,13331
stora enso oyj,15.063,22094
abn amro bank,15.059,17813
liberty global,15.016,11200
jd sports fashion,15.001,61053
united company rusal,14.968,NAN
otp bank nyrt,14.752,38626
julius bar gruppe ag,14.734,6606
pjsc tatneft,14.690,60000
jeronimo martins sgps,14.681,123458
smurfit kappa group,14.596,46000
pko bank polski en,14.476,23693
rolls-royce holdings,14.458,50000
bureau veritas sa,14.433,78395
suez sa,14.416,86195
hal trust,14.241,51397
vivendi,14.134,42800
kion group ag,14.105,39602
next plc,14.071,25491
heidelberg cement ag,14.035,51209
brenntag ag,13.934,17237
bouygues sa,13.909,129000
alstom sa,13.861,75000
logitech international,13.772,9000
vat group ag,13.761,NAN
rentokil initial,13.741,44500
ab industrivarden (publ),13.700,15
aeroports de paris sa,13.570,22448
l e lundbergforetagen ab (publ),13.450,3287
sodexo,13.308,412088
tenaris,13.234,19399
entain plc,13.233,NAN
lifco ab (publ),13.168,6265
wise plc,13.132,2243
yara international asa,13.126,16818
barry callebaut ag,13.023,12783
kpn,13.014,10102
coca-cola hbc ag,12.999,26000
traton se,12.896,82600
svenska cellulosa aktiebolaget sca (publ),12.777,4253
randstad,12.763,34680
swedish match ab (publ),12.748,6735
fastighets ab balder (publ),12.743,784
recordati industria chimica e farmaceutica,12.714,4362
bunzl,12.678,19853
covestro ag,12.615,17883
schroders,12.609,5500
kesko oyj,12.580,17650
intercontinental hotels group,12.579,350000
aveva group,12.576,6250
admiral group,12.546,11445
mondi,12.465,26000
solvay sa,12.455,NAN
umicore sa,12.455,NAN
talanx ag,12.435,23527
intertek group,12.318,43800
nemetschek se,12.312,3300
st. james's place,12.264,2014
mowi asa,12.256,11684
evraz,12.136,69619
persimmon,12.121,5000
edenred sa,12.103,10000
gjensidige forsikring asa,12.078,3700
demant a/s,12.074,15000
ica gruppen ab (publ),11.908,24043
pandora a/s,11.812,22236
hellofresh se,11.707,4477
aker bp asa,11.615,1742
ab skf (publ),11.604,42602
mtu aero engines ag,11.584,10313
vifor pharma ag,11.546,2384
qiagen,11.462,5610
sage group,11.445,11785
allfunds group plc,11.390,NAN
alrosa,11.361,32475
allegion,11.358,11000
imcd,11.329,3049
eurocommercial properties,11.322,NAN
renault sa,11.287,179565
remy cointreau sa,11.237,1832
commerzbank ag,11.192,46724
aegon,11.152,22322
amplifon spa,11.131,11265
informa plc,11.092,11000
rational ag,11.071,2216
grifols,11.020,23668
samhallsbyggnadsbolaget i norden ab (publ),11.009,NAN
red electrica corporacion,10.989,2051
indutrade ab (publ),10.980,7000
infrastrutture wireless italiane,10.961,NAN
arkema,10.936,19794
farfetch,10.907,5441
international consolidated airlines group,10.857,64734
getinge ab,10.831,10818
telecom italia,10.821,52347
embracer group ab (publ),10.813,5500
finecobank banca fineco,10.812,1225
just eat takeaway.com,10.712,5423
kabel deutschland holding ag,10.661,4081
skanska ab (publ),10.603,31517
ageas sa/nv,10.560,10045
lundin energy ab (publ),10.560,NAN
magnitogorsk iron & steel works (mmk),10.489,17887
chr. hansen holding a/s,10.437,3700
ab sagax (publ),10.390,77
unibail-rodamco-westfield,10.389,3495
euronext,10.375,1400
barratt developments,10.253,6655
acciona,10.238,38967
on holding ag,10.215,883
gecina sa,10.197,504
mediobanca banca di credito finanziario,10.176,NAN
d'ieteren sa,10.153,NAN
leg immobilien ag,10.144,1400
tele2 ab (publ),10.059,9000
raiffeisen bank international ag,10.044,NAN
melrose industries,10.033,55621
tomra systems asa,9.995,4530
sensata technologies holding,9.970,19200
united utilities group,9.912,5354
severn trent,9.908,6800
prysmian,9.903,28000
eiffage sa,9.902,72500
pjsc phosagro,9.857,NAN
kingfisher,9.857,78000
ssab ab (publ),9.846,14500
elisa oyj,9.813,NAN
pik group,9.777,NAN
dassault aviation sa,9.762,12757
allegro.eu sa,9.749,NAN
burberry group,9.748,9892
orkla asa,9.741,18110
metso outotec oyj,9.699,NAN
temenos ag,9.642,7500
diasorin,9.625,2024
deutsche lufthansa ag,9.597,138353
ternium,9.570,20173
gea group,9.497,18232
kinnevik ab,9.333,40
autoliv,9.243,61000
santander bank polska,9.217,NAN
auto trader group,9.205,909
accor sa,9.107,260000
phoenix group holdings,9.101,5752
bachem holding ag,9.007,NAN
polskie gornictwo naftowe i gazownictwo,8.999,24608
castellum ab (publ),8.934,NAN
sig combibloc group ag,8.856,NAN
hargreaves lansdown,8.838,1610
husqvarna ab (publ),8.827,NAN
dino polska s.a.,8.817,NAN
galp energia sgps,8.809,6114
rightmove,8.805,650
getlink se,8.793,NAN
sinch ab (publ),8.747,1892
j sainsbury,8.725,111900
elia system operator sa,8.707,NAN
whitbread,8.688,35455
seb sa,8.653,34000
hellenic telecommunications organization,8.617,16291
rtl group sa,8.611,16264
wartsila oyj abp,8.608,18307
avast,8.600,1803
taylor wimpey,8.575,6029
edison s.p.a,8.556,13351
