CompanyName,MarketCap,EmployeesTotalAmount
LOCKHEED MARTIN CORPORATION,99.322,114000
INDITEX (INDUSTRIA DE DISENO TEXTIL),98.655,144116
FORD MOTOR COMPANY,97.668,183000
BP P.L.C.,97.619,60000
CSL,97.072,25000
AL RAJHI BANKING AND INVESTMENT CORPORATION,94.931,13716
ROBERT BOSCH,NAN,400000
THE PNC FINANCIAL SERVICES GROUP,94.557,59426
SAUDI BASIC INDUSTRIES CORPORATION (SABIC),94.398,32721
LAM RESEARCH CORPORATION,94.235,14100
MONDELEZ INTERNATIONAL,94.230,79000
BYD COMPANY,92.257,224300
DEUTSCHE TELEKOM AG,92.028,226291
SNOWFLAKE,91.792,2495
ALTRIA GROUP,91.427,6000
AUDI AG,NAN,90640
DELOITTE,NAN,300000
BNP PARIBAS,90.457,190000
U.S. BANCORP,90.451,68796
GENERAL MOTORS COMPANY,90.407,157000
CARGILL,NAN,155000
RECRUIT HOLDINGS,90.237,49370
BROOKFIELD ASSET MANAGEMENT,89.968,152000
EQUINOR ASA,89.918,21245
BRITISH AMERICAN TOBACCO,89.470,55000
MERCEDEC BENZ GROUP AG,89.412,288481
GILEAD SCIENCES,89.387,14400
ESSILOR LUXOTTICA,89.047,151017
THE TJX COMPANIES,88.726,320000
ANALOG DEVICES,88.697,24700
BANK OF NOVA SCOTIA,87.963,89488
TOKYO ELECTRON LIMITED,87.398,14479
CANADIAN NATIONAL RAILWAY COMPANY,87.195,22604
TRUIST FINANCIAL CORPORATION,86.768,52641
MODERNA,86.710,1800
CHUBB,86.661,31000
SWATCH GROUP AG,85.629,32424
MIDEA GROUP,85.137,149239
SHERWIN-WILLIAMS COMPANY,84.747,61626
PRICEWATERHOUSECOOPERS,NAN,295371
COMPAGNIE FINANCIERE RICHEMONT SA,84.500,34760
AIR LIQUIDE,84.264,67000
CROWN CASTLE INTERNATIONAL CORPORATION,84.163,5000
SBERBANK OF RUSSIA,83.756,285555
CSX CORPORATION,83.196,20919
BLACKSTONE GROUP,82.928,3795
ALLERGAN,NAN,17400
MARSH & MCLENNAN COMPANIES,82.707,81000
PUBLIX,NAN,232000
ENBRIDGE,82.219,11200
SOFTBANK GROUP,81.219,58786
SIEMENS HEALTHINEERS AG,81.178,52000
CME GROUP,80.879,4370
UBER TECHNOLOGIES,80.534,29300
DUKE ENERGY CORPORATION,80.396,27605
NATIONAL COMMERCIAL BANK,79.842,13334
LIFE INSURANCE CORPORATION OF INDIA,NAN,114000
ENEL,79.770,66438
PSBC (POSTAL SAVINGS BANK OF CHINA),79.132,194527
CHINA YANGTZE POWER,78.971,4077
MITSUBISHI UFJ FINANCIAL GROUP,78.838,132700
DEUTSCHE POST AG,78.472,571974
RELIANCE JIO,NAN,NAN
HCA HEALTHCARE,78.443,235000
ATLAS COPCO AB,78.380,40000
CHINA PETROLEUM & CHEMICAL CORPORATION (SINOPEC),77.722,384065
INVESTOR AB (PUBL),77.328,20054
CIGNA CORPORATION,77.282,73800
ILLINOIS TOOL WORKS,77.256,45000
ATLASSIAN CORPORATION,76.763,6433
EDWARDS LIFESCIENCES CORPORATION,76.356,15700
HINDUSTAN UNILEVER,76.085,21000
RIVIAN AUTOMOTIVE INC,76.220,7000
ABB,76.037,105000
ROSNEFT OIL COMPANY,75.445,315000
ADYEN,75.414,1750
INTERCONTINENTAL EXCHANGE,75.074,8858
AXA,74.588,96595
BANK OF MONTREAL,73.370,43863
ICICI BANK,73.325,130170
HONG KONG EXCHANGES AND CLEARING (HKEX),73.044,2372
HANGZHOU HIKVISION DIGITAL TECHNOLOGY,72.956,42685
SK HYNIX,72.832,29008
THE SOUTHERN COMPANY,72.745,27300
BECTON DICKINSON AND COMPANY,72.444,75000
NORFOLK SOUTHERN CORPORATION,72.227,18100
FOSHAN HAITIAN FLAVOURING AND FOOD COMPANY,72.144,6058
IBERDROLA,72.100,45000
FISERV,71.853,44000
VALE SA,71.751,74316
FIDELITY NATIONAL INFORMATION SERVICES,71.635,65000
SHIN-ETSU CHEMICAL,71.309,24069
DASSAULT SYSTEMES,71.224,19789
COLGATE-PALMOLIVE COMPANY,71.170,33800
GLENCORE,70.870,134878
BAYERISCHE MOTOREN WERKE (BMW),70.505,120726
CANADIAN PACIFIC RAILWAY,70.397,11834
ERNST & YOUNG,NAN,312250
MARVELL TECHNOLOGY GROUP,70.128,5633
PINDUODUO,70.059,7986
FEDEX CORPORATION,69.949,289000
EQUINIX,69.777,10944
NOVATEK,69.387,16821
MOODY'S CORPORATION,69.229,13023
"LUCID GROUP, INC.",69.115,2000
NATIONAL AUSTRALIA BANK,69.038,34944
BASF SE,68.991,110302
A.P. MOLLER - MAERSK A/S,68.834,80000
PETROLEO BRASILEIRO - PETROBRAS,68.812,49050
ALDI,NAN,25000
KDDI CORPORATION,68.132,47320
LONGI GREEN ENERGY TECHNOLOGY,68.086,32873
ZURICH INSURANCE GROUP AG,67.906,52930
WASTE MANAGEMENT,67.667,48500
NONGFU SPRING,66.972,NAN
EATON CORPORATION,66.905,85947
NETEASE,66.904,28239
DENSO CORPORATION,66.747,168391
UBS GROUP AG,66.672,71551
SNAP INC,66.581,5661
INDUSTRIAL BANK,66.409,60500
AMERICA MOVIL,66.199,186851
PT BANK CENTRAL ASIA TBK,66.014,26123
AIR PRODUCTS AND CHEMICALS,65.931,20875
ECOLAB,65.873,47000
CAPITAL ONE FINANCIAL CORPORATION,65.839,50800
NIDEC CORPORATION,65.389,117356
DAIKIN INDUSTRIES,65.363,80369
BLOCK INC,65.289,8521
DBS GROUP HOLDINGS,65.120,29000
WHATSAPP,NAN,55
CHINA SHENHUA ENERGY COMPANY,64.993,76182
DOMINION ENERGY,64.963,17100
REGENERON PHARMACEUTICALS,64.927,10368
STELLANTIS N.V,64.800,189512
