CompanyName,MarketCap,EmployeesTotalAmount
China Life Insurance Company Limited,97.31 B,NAN
"Automatic Data Processing, Inc.",96.98 B,NAN
BP plc,96.24 B,NAN
China Shenhua Energy Company Ltd,95.34 B,NAN
Booking Holdings Inc.,95.02 B,NAN
Canadian National Railway Company,94.96 B,NAN
Enbridge Inc.,94.94 B,NAN
Schneider Electric SE,94.34 B,NAN
Deutsche Telekom AG,93.01 B,NAN
MERCK Kommanditgesellschaft auf Aktien,90.74 B,NAN
"Mondelez International, Inc.",90.67 B,NAN
"JD.com, Inc.",90.46 B,NAN
Vulcan International Corp,90.34 B,NAN
Zoetis Inc.,89.82 B,NAN
CSL Limited,89.69 B,NAN
3M Company,88.77 B,NAN
Duke Energy Corporation,88.76 B,NAN
Bank of Nova Scotia,87.76 B,NAN
The Blackstone Group Inc.,87.64 B,NAN
Brookfield Asset Management Inc.,87.46 B,NAN
Glencore plc,87.31 B,NAN
CME Group Inc.,87.17 B,NAN
"Marsh & McLennan Companies, Inc.",87.16 B,NAN
"Micron Technology, Inc.",86.49 B,NAN
"Mitsubishi UFJ Financial Group, Inc.",85.03 B,NAN
Cigna Corporation,84.67 B,NAN
Shopify Inc.,83.80 B,NAN
Air Liquide SA,83.24 B,NAN
"HCA Healthcare, Inc.",82.60 B,NAN
National Australia Bank Limited,81.03 B,NAN
Crown Castle International Corp. (REIT),80.92 B,NAN
EssilorLuxottica SA,80.49 B,NAN
U.S. Bancorp,80.16 B,NAN
Tokyo Electron Ltd,79.62 B,NAN
Bank of Montreal,79.22 B,NAN
Kering SA,78.66 B,NAN
China Yangtze Power Co. Ltd,78.42 B,NAN
China Petroleum & Chemical Corporation,78.39 B,NAN
The Southern Company,78.38 B,NAN
Lam Research Corporation,77.60 B,NAN
"The PNC Financial Services Group, Inc.",77.10 B,NAN
"Becton, Dickinson and Company",76.98 B,NAN
"Gilead Sciences, Inc.",76.15 B,NAN
"Regeneron Pharmaceuticals, Inc.",74.91 B,NAN
Truist Financial Corporation,74.79 B,NAN
Canadian Natural Resources Limited,74.78 B,NAN
"Intercontinental Exchange, Inc.",74.17 B,NAN
"The TJX Companies, Inc.",73.99 B,NAN
Atlassian Corporation Plc,73.72 B,NAN
Zurich Insurance Group AG,73.58 B,NAN
Edwards Lifesciences Corporation,73.38 B,NAN
Aon Plc,73.33 B,NAN
Northrop Grumman Corporation,73.25 B,NAN
KDDI Corp,73.12 B,NAN
Norfolk Southern Corporation,72.31 B,NAN
Freeport-McMoRan Inc.,72.16 B,NAN
Wal-Mart de Mexico SAB de CV,71.96 B,NAN
PT Bank Central Asia Tbk,71.91 B,NAN
"EOG Resources, Inc.",71.90 B,NAN
Siemens Healthineers AG,71.50 B,NAN
Anglo American plc,71.48 B,NAN
"Moderna, Inc.",70.81 B,NAN
General Dynamics Corporation,70.55 B,NAN
AXA SA,70.20 B,NAN
"Dominion Energy, Inc.",70.20 B,NAN
Enel SpA,70.15 B,NAN
BNP Paribas SA,69.90 B,NAN
"América Móvil, S.A.B. de C.V.",69.45 B,NAN
Public Storage,69.31 B,NAN
UBS Group AG,68.93 B,NAN
Sberbank of Russia PJSC,68.69 B,NAN
"Fiserv, Inc.",68.68 B,NAN
"Iberdrola, SA",68.23 B,NAN
Recruit Holdings Co Ltd,68.11 B,NAN
Bayer AG,68.09 B,NAN
The Sherwin-Williams Company,67.54 B,NAN
Vertex Pharmaceuticals Incorporated,67.49 B,NAN
Illinois Tool Works Inc.,67.49 B,NAN
The Progressive Corporation,67.31 B,NAN
Westpac Banking Corporation,67.20 B,NAN
ABB Ltd,67.19 B,NAN
"Waste Management, Inc.",66.95 B,NAN
Industrial Bank Co. Ltd,66.87 B,NAN
DBS Group Holdings Ltd,66.74 B,NAN
ICICI Bank Limited,66.62 B,NAN
"Equinix, Inc. (REIT)",66.35 B,NAN
Newmont Corporation,65.89 B,NAN
Ford Motor Company,65.74 B,NAN
Colgate-Palmolive Company,65.64 B,NAN
Exelon Corporation,65.53 B,NAN
Snowflake Inc.,65.04 B,NAN
Oriental Land Co. Ltd,64.66 B,NAN
"SK hynix, Inc.",64.60 B,NAN
AP Moller - Maersk A-S,64.40 B,NAN
Shin-Etsu Chemical Co Ltd,63.43 B,NAN
FedEx Corporation,63.25 B,NAN
Boston Scientific Corporation,63.08 B,NAN
PacifiCorp,62.87 B,NAN
Dassault Systèmes SE,62.75 B,NAN
"MetLife, Inc.",62.69 B,NAN
General Motors Company,62.69 B,NAN
Sea Limited,62.66 B,NAN
"Uber Technologies, Inc.",62.66 B,NAN
Moody's Corporation,62.58 B,NAN
Nintendo Co Ltd,62.20 B,NAN
Pioneer Natural Resources Company,62.19 B,NAN
Eaton Corporation plc,62.17 B,NAN
"Analog Devices, Inc.",62.00 B,NAN
"Fidelity National Information Services, Inc.",61.73 B,NAN
"Banco Santander, SA",61.67 B,NAN
Hapag-Lloyd AG,61.46 B,NAN
Adyen N.V.,61.11 B,NAN
Atlas Copco AB,60.97 B,NAN
CNOOC Limited,60.19 B,NAN
Nutrien Ltd.,60.06 B,NAN
"Block, Inc.",59.95 B,NAN
Deutsche Post AG,59.80 B,NAN
"NetEase, Inc.",59.76 B,NAN
Hong Kong Exchanges & Clearing Ltd,59.75 B,NAN
Capital One Financial Corporation,59.67 B,NAN
Emerson Electric Co.,59.66 B,NAN
"Palo Alto Networks, Inc.",59.65 B,NAN
Australia and New Zealand Banking Group Limited,59.55 B,NAN
Reckitt Benckiser Group plc,59.53 B,NAN
Nongfu Spring Co. Ltd,59.50 B,NAN
Saudi Telecom Company,59.47 B,NAN
Southern Copper Corporation,59.46 B,NAN
Shenzhen Mindray Bio-Medical Electronics Co. Ltd,59.26 B,NAN
Vinci SA,59.01 B,NAN
"Workday, Inc.",58.70 B,NAN
RELX plc,58.53 B,NAN
Marvell Technology Group Ltd.,58.36 B,NAN
"Air Products and Chemicals, Inc.",57.82 B,NAN
Pernod Ricard SA,57.75 B,NAN
Schlumberger Limited,57.63 B,NAN
"Marvell Technology, Inc.",57.62 B,NAN
Itaú Unibanco Holding SA,57.45 B,NAN
Enterprise Products Partners L.P.,57.43 B,NAN
Foshan Haitian Flavouring and Food Company Ltd,57.40 B,NAN
