CompanyName,MarketCap,EmployeesTotalAmount
"Palo Alto Networks, Inc.",59.65,"11,527"
Emerson Electric Co.,59.66,"86,700"
Capital One Financial Corporation,59.67,"50,767"
Hong Kong Exchanges & Clearing Ltd,59.75,"2,146"
"NetEase, Inc.",59.76,"18,129"
Deutsche Post AG,59.80,"548,042"
"Block, Inc.",59.95,"8,521"
Nutrien Ltd.,60.06,"23,500"
CNOOC Limited,60.19,"18,151"
Atlas Copco AB,60.97,"42,862"
Adyen N.V.,61.11,"2,180"
Hapag-Lloyd AG,61.46,"14,106"
"Banco Santander, SA",61.67,"177,033"
"Fidelity National Information Services, Inc.",61.73,"65,000"
"Analog Devices, Inc.",62.00,"24,700"
Eaton Corporation plc,62.17,"85,947"
Pioneer Natural Resources Company,62.19,"1,932"
Nintendo Co Ltd,62.20,"6,574"
Moody's Corporation,62.58,"13,460"
"Uber Technologies, Inc.",62.66,"29,300"
Sea Limited,62.66,"29,800"
"Paychex, Inc.",49.23,"15,000"
Centene Corporation,49.32,"72,500"
The Kraft Heinz Company,49.42,"36,000"
"Roper Technologies, Inc.",49.66,"19,300"
"MercadoLibre, Inc.",49.83,"29,957"
"Illumina, Inc.",49.91,"9,800"
Safran SA,50.02,"77,008"
"Synopsys, Inc.",50.18,"16,361"
Novatek PJSC,50.19,NAN
Ecolab Inc.,50.29,"47,000"
China Tourism Group Duty Free Corp Ltd,50.46,"14,217"
Hon Hai Precision Industry Co. Ltd,50.75,NAN
Fortescue Metals Group Limited,50.76,"10,232"
"American Electric Power Company, Inc.",50.95,"16,688"
Archer-Daniels-Midland Company,51.03,"39,218"
General Accident plc,51.43,NAN
"AgriBank, FCB",51.49,NAN
"L3Harris Technologies, Inc.",51.51,"47,000"
Toyota Motor Corporation,51.55,"371,365"
DENSO Corp,51.58,"168,391"
BCE Inc.,51.71,"49,781"
Stellantis N.V.,51.80,"281,595"
Eni S.p.A.,52.00,"31,495"
ITOCHU Corp,52.19,"125,944"
"Xilinx, Inc.",52.19,"4,890"
NXP Semiconductors N.V.,52.28,"31,000"
Fast Retailing Co. Ltd,52.29,"55,589"
"Liberty Bancshares, Inc. (OH)",52.30,NAN
Occidental Petroleum Corporation,52.30,"11,678"
Sempra Energy,52.47,"15,390"
BASF SE,52.76,"108,718"
Thomson Reuters Corporation,53.30,"24,400"
London Stock Exchange Group plc,53.33,"24,158"
Lonza Group Ltd,53.76,"16,218"
Ferrari N.V.,53.78,"4,609"
Snap Inc.,53.86,"5,661"
"Fortinet, Inc.",53.86,"10,195"
Dollar General Corporation,54.30,"163,000"
"American International Group, Inc.",54.31,"36,600"
Marathon Petroleum Corporation,54.54,"17,700"
Canadian Pacific Railway Limited,54.59,"11,834"
Ambev SA,54.69,"53,000"
Heineken N.V.,54.87,"81,070"
SoftBank Group Corp.,54.93,"58,786"
Ergo Science Corp,55.23,NAN
Keurig Dr Pepper Inc.,55.28,"27,500"
Chugai Pharmaceutical Co. Ltd,55.31,"7,664"
"Daikin Industries,Ltd.",55.58,"84,870"
National Grid plc,55.88,"23,683"
Zijin Mining Group Co Ltd,43.93,"43,876"
Wipro Limited,43.98,"220,000"
"Samsung Biologics Co.,Ltd.",44.01,"3,247"
"Sumitomo Mitsui Financial Group, Inc.",44.06,"86,800"
"Chipotle Mexican Grill, Inc.",44.11,"97,660"
"Cadence Design Systems, Inc.",44.23,"9,300"
Cintas Corporation,44.32,"40,000"
IQVIA Holdings Inc.,44.32,"79,000"
"AutoZone, Inc.",44.39,"65,100"
TE Connectivity Ltd.,44.78,"85,000"
Intesa Sanpaolo S.p.A.,44.95,"78,000"
PJSC Lukoil,44.96,"101,374"
Saudi Arabian Mining Company,45.00,NAN
Mitsui & Co. Ltd,45.09,"44,509"
"Datadog, Inc.",45.13,"3,200"
"Constellation Brands, Inc.",45.21,"9,300"
Infineon Technologies AG,45.35,"50,280"
"The Travelers Companies, Inc.",45.56,"30,184"
"IDEXX Laboratories, Inc.",45.64,"10,350"
Vodafone Group plc,45.74,"105,000"
Vanjia Corp,45.74,NAN
Amphenol Corporation,45.77,"90,000"
The Hershey Company,45.83,"16,620"
Takeda Pharmaceutical Company Limited,45.89,"47,099"
"Baidu, Inc.",45.98,"45,500"
